Subject,File,Gender,Age,Total.time,Points,Clicker,Handeness,Language,Mobile,Normalized_button,Portrait,Strategy,Touch,User-agent,Window
32,575987441-1494334596.json,f,21,2.9166666666666665,"[191, 572, 41]",mouse,right,English,False,"{'y': 0.10271483060354498, 'x': 0.5}",False,,False,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1252
33,597304485-1494334437.json,m,25,2.433333333333333,"[138, 338, 74]",mouse,right,english,False,"{'y': 0.10246052148365772, 'x': 0.5}",False,,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",950
34,603580079-1494334585.json,f,37,2.35,"[155, 293, 52]",mouse,right,english,False,"{'y': 0.10262873153477806, 'x': 0.5}",False,none,False,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",1536
35,613576771-1494334229.json,f,28,2.05,"[163, 420, 80]",mouse,right,English,False,"{'y': 0.102460521805205, 'x': 0.5}",False,,False,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1536
36,620555070-1494338840.json,m,24,2.25,"[509, 1348, 175]",mouse,right,English,False,"{'y': 0.10229322339603195, 'x': 0.49990559506576876}",False,,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1366
37,643128579-1494334327.json,f,38,3.05,"[195, 628, 60]",mouse,right,English,False,"{'y': 0.10255184106420902, 'x': 0.5}",False,none,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1920
38,650020102-1494334255.json,m,20,2.45,"[143, 256, 74]",mouse,right,English,False,"{'y': 0.10263265213648104, 'x': 0.5}",False,,False,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1680
39,658126173-1494334382.json,f,55,3.7,"[1109, 3201, 507]",mouse,right,Finnish,False,"{'y': 0.10256410256410256, 'x': 0.5}",False,Did not use any special strategies. ,False,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1920
40,659308321-1494334989.json,m,40,2.65,"[137, 224, 83]",mouse,right,English,False,"{'y': 0.10234641353031619, 'x': 0.5}",False,,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1366
41,701198801-1494336377.json,f,41,2.4166666666666665,"[93, 264, 30]",mouse,right,english,False,"{'y': 0.10234641353031619, 'x': 0.5}",False,none,False,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1366
42,705337061-1494334279.json,f,41,2.6666666666666665,"[207, 489, 97]",mouse,right,English ,False,"{'y': 0.10237617291442977, 'x': 0.5}",False,nothing ,False,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36",1175
43,705454671-1494335434.json,f,38,2.2333333333333334,"[804, 2607, 314]",mouse,right,English,False,"{'y': 0.10237464566197314, 'x': 0.5}",False,,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1170
44,710121566-1494336890.json,f,34,2.7666666666666666,"[63, 119, 38]",trackpad,right,English,False,"{'y': 0.10245031352261555, 'x': 0.5}",False,,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1280
45,710877505-1494334400.json,f,58,4.033333333333333,"[225, 506, 77]",mouse,left,english,False,"{'y': 0.10245555070113878, 'x': 0.4999999842433001}",False,n/a,False,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1378
46,715406900-1494335901.json,m,28,2.9166666666666665,"[860, 1586, 372]",mouse,right,English,False,"{'y': 0.1023832226529375, 'x': 0.4999999893444222}",False,,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1178
47,734650808-1494334361.json,m,32,2.2333333333333334,"[140, 366, 48]",mouse,right,ENglish,False,"{'y': 0.1024875601967746, 'x': 0.49999998149103825}",False,,False,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1094
48,765574025-1494334233.json,f,68,2.1666666666666665,"[147, 1678, 50]",mouse,right,En,False,"{'y': 0.10239651794548046, 'x': 0.5000000446163495}",False,n,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.98 Safari/537.36 OPR/44.0.2510.857",1236
49,830651496-1494336425.json,m,28,2.9166666666666665,"[130, 383, 68]",mouse,right,English,False,"{'y': 0.10240804445620534, 'x': 0.5}",True,,True,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1278
50,84454121-1494336539.json,f,25,3.2333333333333334,"[119, 405, 26]",trackpad,right,English,False,"{'y': 0.10247116968698518, 'x': 0.5}",False,,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1366
51,851245797-1494336667.json,m,38,4.083333333333333,"[193, 361, 103]",mouse,right,English,False,"{'y': 0.1026615957369877, 'x': 0.5}",False,,False,"Mozilla/5.0 (X11; CrOS x86_64 9334.58.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.89 Safari/537.36",1093
52,886947122-1494334306.json,m,30,2.8,"[257, 724, 62]",mouse,right,English,False,"{'y': 0.1026287360460929, 'x': 0.5}",False,,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1920
53,944516147-1494336194.json,f,25,1.7666666666666666,"[140, 333, 59]",mouse,right,english,False,"{'y': 0.10251984811874353, 'x': 0.5}",False,n/a,False,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1920
54,946385519-1494334313.json,m,34,3.3833333333333333,"[769, 3894, 278]",mouse,right,English,False,"{'y': 0.10248094014573944, 'x': 0.5}",False,none,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1920
