Subject,File,Gender,Age,Total.time,Points,Clicker,Handeness,Language,Mobile,Normalized_button,Portrait,Strategy,Touch,User-agent,Window
12,298417916-1494334254.json,f,38,2.6333333333333333,"[172, 424, 52]",mouse,right,english,False,"{'y': 0.10234641353031619, 'x': 0.5}",False,,True,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1366
13,310380634-1494334254.json,m,32,2.05,"[164, 459, 49]",mouse,right,English,False,"{'y': 0.10258548790658882, 'x': 0.5}",False,,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1920
14,33334630-1494334612.json,f,46,3.1666666666666665,"[209, 371, 88]",mouse,right,English,False,"{'y': 0.10256289677874442, 'x': 0.500412881915772}",False,Thanks!,False,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",1280
15,338671313-1494334401.json,f,30,2.216666666666667,"[164, 1508, 53]",mouse,left,English,False,"{'y': 0.10234641353031619, 'x': 0.5}",False,I have no comment.,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1366
16,351199415-1494337371.json,f,30,1.5,"[99, 196, 39]",mouse,left,english,False,"{'y': 0.10234255519948757, 'x': 0.5}",False,just tried to go as fast as possible while answering correctly. ,True,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1280
17,372832830-1494334602.json,f,36,3.4166666666666665,"[394, 1361, 171]",mouse,right,English,False,"{'y': 0.10236656082797535, 'x': 0.49989179651112853}",False,No special strategy.,False,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1280
18,38886275-1494334550.json,m,61,2.933333333333333,"[110, 242, 39]",mouse,right,english,False,"{'y': 0.1026678554282971, 'x': 0.5}",False,none really ,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1241
19,39582494-1494334331.json,m,28,1.9833333333333334,"[667, 966, 401]",mouse,right,english,False,"{'y': 0.10253065483955126, 'x': 0.5}",False,,False,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",2560
20,401638358-1494334303.json,m,25,2.7333333333333334,"[223, 551, 53]",mouse,right,English,False,"{'y': 0.1024390243902439, 'x': 0.5}",False,,False,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1600
21,410915959-1494333822.json,f,28,2.4,"[102, 208, 2]",trackpad,right,Spanish,False,"{'y': 0.10360498759977615, 'x': 0.5000000159171822}",False,,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",743
