Subject,Sentence_Type,Block,Timing,Target,Expected_response,Response,Accuracy,RT,MaxDeviation,MaxDeviation.Time,MaxDeviation.Time.Norm,MaxDeviationBorder,MaxDeviationBorder.Time,MaxDeviationBorder.Time.Norm,MaxRatio,MaxLogRatio,MaxRatio.Time,MaxRatio.Time.Norm,MaxDifference,MaxDifference.Time,MaxDifference.Time.Norm,AccPeak,AccPeak.Time,AccPeak.Time.Norm,Int.Ratio.AccPeak,Int.LogRatio.AccPeak,Int.Difference.AccPeak,Int.X.AccPeak,Local.Maxima.Acc,Len.Local.Maxima,Delay,Ratio.Acc
0,target,long,1,B,B,B,1,1969,1.2731075977034354,1969,100,1.8655781348059803,1122.3300000000002,57,5.789517401820727,1.7560489378210455,1969.0,100,1.4108565066896608,1969.0,100,0.00011759038458030196,1201.0900000000001,61,47.9741515581477,-27.432125605690647,-22.128160872962777,11.833088299984873,"[[0.00011759038458030196, 61]]",1,843,-1.4720412995120011
0,target,long,1,B,B,A,0,1519,1.279151543756269,1519,100,1.730838535822243,1519,100,6.43048417465577,1.8610498347390572,1519.0,100,1.4616770716444858,1519.0,100,5.6652650227136375e-05,820.26,54,54.34740459427839,0.3316078717861739,0.4592056098934747,0.3187728738766546,"[[6.410389745491429e-05, 52], [5.6652650227136375e-05, 54]]",2,754,0.1799277190145261
0,target,long,1,A,A,B,0,2048,1.4393093672107466,1638.4,80,1.7222381358871108,1290.24,63,11.97870764949142,2.483130711199809,1720.32,84,1.6918029045706455,1720.32,84,0.00011940091230055448,1372.16,67,53.687136330588466,-23.000202243667342,-21.6193802499063,12.118920687133675,"[[0.00011940091230055448, 67]]",1,974,-1.0291163374190022
0,target,long,1,A,A,B,0,1897,1.3126790865453422,1897,100,0.9940709413792531,1157.1699999999998,61,7.135500105340028,1.9650823403211184,1897.0,100,1.5083277059544926,1897.0,100,5.439002302469397e-05,1252.02,66,66.8203925105683,0.7834969624431697,1.0609061915846452,-0.7225236737261015,"[[3.816145369750343e-05, 63], [5.439002302469397e-05, 66]]",2,1167,0.26203857350640547
0,target,short,2,B,B,A,0,2299,1.241352899054822,2299,100,1.7279717358438655,2299,100,6.352177194543549,1.8487976194221798,2299.0,100,1.455943471687731,2299.0,100,4.5598068112503355e-05,1402.3899999999999,61,60.47235997056307,-0.5447099377596137,-0.8473490422273852,-0.6559029233203822,"[[4.5598068112503355e-05, 61]]",1,1327,0.18352131331649005
0,target,short,2,A,A,A,1,2200,1.238847834887233,2200,100,1.6907033361249595,2200,100,5.466283777338196,1.6985990029782587,2200.0,100,1.381406672249919,2200.0,100,3.690535244427862e-05,1254.0,57,53.45418798365701,-3.663934851652177,-5.349864146140348,-3.9071710485149453,"[[3.690535244427862e-05, 57]]",1,1199,0.02583616128243404
0,target,short,1,B,B,A,0,1666,1.4395850808774568,1349.46,81,1.796774935324923,1666,100,8.8413057621493,2.1794345763917815,1666.0,100,1.5935498706498459,1666.0,100,8.265828350794823e-05,966.28,58,54.81736555932549,-3.3555806285919223,-4.829656874725987,-3.466473639039687,"[[8.28911864972018e-05, 56], [8.265828350794823e-05, 58]]",2,884,0.3472284021349371
0,target,short,1,B,B,B,1,2373,1.3095960043937251,2373,100,0.9940709413792531,1233.96,52,7.231491026868981,1.9784452426913557,2373.0,100,1.5140613059112473,2373.0,100,2.300651582207138e-05,1993.32,84,115.59503599786595,20.41835107434815,19.638198433580857,-10.017421799924843,"[[2.9943639550265595e-05, 59], [2.300651582207138e-05, 84]]",2,1251,1.184176961221052
