Subject,Experiment,File,Gender,Age,Total.time,Points,Clicker,Handeness,Language,Mobile,Normalized_button,Portrait,Strategy,Touch,User-agent,Window
82,plurals,765575766-1431080494.json,f,49,15.45,"[97, 398, 33]",mouse,right,English,False,"{'y': 0.16928054012237148, 'x': 0.4994174757281553}",False,None,False,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1280
83,plurals,771553289-1431079544.json,f,31,14.683333333333334,"[146, 385, 63]",mouse,right,English,False,"{'y': 0.16919739696312364, 'x': 0.4998594672246338}",False,"I didn't have any set strategy, but I tried to read quickly and I tried to be as accurate as possible. Thanks in advance!",False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1366
85,plurals,798902698-1431079921.json,f,26,14.183333333333334,"[78, 221, 31]",mouse,left,english,False,"{'y': 0.17044657470189384, 'x': 0.4997313272434175}",False,,False,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1440
89,plurals,810731915-1431082239.json,m,32,13.716666666666667,"[162, 313, 64]",mouse,left,English,False,"{'y': 0.17367739459926135, 'x': 0.5000439097216124}",False,I just tried to pay close attention to what I was reading and looking at.,False,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.52 Safari/537.36",1680
92,plurals,831333049-1431079233.json,f,30,10.45,"[127, 268, 58]",mouse,right,English,False,"{'y': 0.16939386955519706, 'x': 0.49984081502706146}",False,n/a,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1600
95,plurals,861820736-1431080071.json,f,31,17.7,"[634, 1651, 217]",mouse,left,English,False,"{'y': 0.17139282967479777, 'x': 0.4996353360634436}",False,"That was tough! But I imagine that's the point. The time limit sometimes had me clicking things too quickly, and I know I must have contradicted myself a few times on what the phrasings meant. Very interesting survey! Can't say I've seen one like it yet.",True,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; MDDC; rv:11.0) like Gecko,1394
98,plurals,870449397-1431088618.json,f,31,25.7,"[55, 159, 2]",trackpad,right,english,False,"{'y': 0.16874214555009712, 'x': 0.4997367589765189}",False,Nothing special,False,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36",1375
102,plurals,889578572-1431082171.json,f,35,14.616666666666667,"[77, 165, 22]",mouse,right,english,False,"{'y': 0.16928054012237148, 'x': 0.4994174757281553}",False,,False,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1366
103,plurals,892725612-1431081982.json,f,51,18.55,"[92, 289, 8]",mouse,right,english,False,"{'y': 0.17115513020253728, 'x': 0.5001534212948757}",False,n/a,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1440
104,plurals,906355391-1431081642.json,f,63,30.166666666666668,"[98, 220, 3]",mouse,left,english,False,"{'y': 0.17676626640603182, 'x': 0.5001909125620466}",False,no special strategy.,False,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1024
105,plurals,928998352-1431079867.json,m,22,16.433333333333334,"[620, 1899, 159]",mouse,right,English,False,"{'y': 0.17317584301771766, 'x': 0.49995637378937263}",False,,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1920
106,plurals,930449604-1431081276.json,m,25,33.333333333333336,"[176, 392, 6]",mouse,right,English,False,"{'y': 0.17162970712644596, 'x': 0.5003963626263684}",False,Thank You.,True,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; McAfee; rv:11.0) like Gecko,1093
107,plurals,93333776-1431080555.json,f,47,19.233333333333334,"[135, 379, 26]",touchscreen,right,English,False,"{'y': 0.173043974871502, 'x': 0.5005893909626719}",False,,False,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1093
108,plurals,935772842-1431079824.json,m,49,25.75,"[156, 309, 3]",mouse,right,English,False,"{'y': 0.16977633561246958, 'x': 0.4996268258876213}",False,,False,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36",1600
113,plurals,967795541-1431083922.json,m,28,17.8,"[137, 295, 59]",mouse,right,English,False,"{'y': 0.17302243485531144, 'x': 0.5002981006728558}",False,,False,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",1920
114,plurals,968122540-1431080544.json,f,30,22.7,"[433, 1140, 3]",mouse,right,English,False,"{'y': 0.170873786407767, 'x': 0.4999442275515895}",False,I just paid attention.,False,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36",1104
