Subject,File,Gender,Age,Color,Change,Total.time,Points,Clicker,Handeness,Language,Mobile,Normalized_button,Portrait,Strategy,Touch,User-agent,Window
10,262153185-1505746349.json,f,37,no,yes,4.4,"[66, 119, 35]",mouse,left, english,False,"{'y': 0.09617089622062594, 'x': 0.269219396408532}",False,,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1536
11,268876353-1505749218.json,m,33,n/a,Seemed to change when I got close to one of the color selections - it would swap to the other at the last second.,3.4166666666666665,"[48, 100, 19]",mouse,right,English,False,"{'y': 0.09615384615384616, 'x': 0.2692307692307692}",False,,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1366
12,274808146-1505747706.json,m,38,no,yes,3.8333333333333335,"[47, 81, 20]",mouse,right,english,False,"{'y': 0.09605356719601801, 'x': 0.26917150645964205}",False,none,False,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1366
13,285295024-1505682770.json,m,51,I didn't have any difficulty distinguishing between the colors.,"Yes, on some of the trials, I had the impression that the color changed.",5.383333333333334,"[50, 85, 23]",mouse,right,English,False,"{'y': 0.09731991268493816, 'x': 0.2691842168966352}",False,I didn't use any special strategy other than paying close attention and making sure that I reacted to the most current color being displayed.  Thanks for the opportunity to participate and good luck with your research!,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1366
14,316281266-1505744920.json,m,25,"Not in general, but sometimes I did (it's morning)",It tended to change clor once you hovered over the specified color,4.5,"[50, 79, 27]",mouse,right,English,False,"{'y': 0.09726329034287512, 'x': 0.2691993720565149}",False,"At certain intervals I just assumed it would change color, so I readied myself to jump back to the other color.",False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1366
15,322786562-1505747410.json,f,45,no,yes,5.066666666666666,"[60, 122, 35]",mouse,right,english,False,"{'y': 0.09790595150624541, 'x': 0.2692307692307692}",False,,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1332
16,336086382-1505746513.json,f,42,no,yes,3.4833333333333334,"[53, 121, 30]",mouse,right,english,False,"{'y': 0.09586466165413533, 'x': 0.26921980965407194}",False,,False,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1280
17,353519432-1505745928.json,f,21,No,Yes,4.2,"[59, 104, 29]",mouse,left,English,False,"{'y': 0.09617089622062594, 'x': 0.269219396408532}",False,Just reflexes,True,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1536
18,365357967-1505744864.json,m,34,Nope.,"Just as I moved to other color it did, sometimes.",3.65,"[53, 112, 30]",mouse,right,English,False,"{'y': 0.09487306297395318, 'x': 0.26920535271766066}",False,Nah just visual response.,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36 OPR/47.0.2631.80",1920
19,381641772-1505678509.json,m,52,no,yes,4.266666666666667,"[55, 87, 29]",mouse,right,english,False,"{'y': 0.09726329034287512, 'x': 0.2691993720565149}",False,no special strategy,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1366
20,397592144-1505745036.json,f,31,no,yes,6.533333333333333,"[35, 75, 18]",mouse,right,English,False,"{'y': 0.0946051282051282, 'x': 0.2692196947883674}",False,,True,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1920
21,407047887-1505746132.json,m,68,NO,YES,5.666666666666667,"[79, 164, 35]",mouse,right,English,False,"{'y': 0.09605356719601801, 'x': 0.26917150645964205}",False,NONE,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1366
22,44378615-1505676452.json,f,55,no,"It seemed mostly the color did not change, but sometimes one that started as red changed quickly to blue.",5.3,"[44, 80, 6]",trackpad,right,english,False,"{'y': 0.09504427088563423, 'x': 0.26920876085793216}",False,,False,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",758
23,454158515-1505745005.json,f,29,no,yes,4.633333333333334,"[30, 68, 3]",mouse,right,English,False,"{'y': 0.09548809248264548, 'x': 0.2691754632091331}",False,,False,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1777
24,475521278-1505744844.json,m,25,no,Yes,3.25,"[49, 105, 24]",mouse,right,english,False,"{'y': 0.0963990158801163, 'x': 0.2692273296369165}",False,,False,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1301
